question_name|answers|exam_type|title|raw_question|processed_question|raw_correct_answer|processed_correct_answer
Câu 1|A. thời gian bùng nổ.	 			B. lực lượng tham gia.	C. địa bàn đấu tranh.				D. mục tiêu đấu tranh. |exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Điểm khác nhau cơ bản giữa khởi nghĩa Yên Thế và phong trào Cần Vương là |điểm khác nhau cơ_bản giữa khởi_nghĩa yên_thế và phong_trào cần vương là|D . mục tiêu đấu tranh.|mục_tiêu đấu_tranh
Câu 2|A. Vua Hàm Nghi. 				B. Tôn Thất Thuyết. C. Tôn Thất Thiệp. 				D. Trần Tiễn Thành.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Người đứng đầu phái chủ chiến trong triều đình Huế là ai?|người đứng đầu phái chủ_chiến trong triều đình huế là ai|B . Tôn Thất Thuyết.|tôn thất_thuyết
Câu 3|A. Đồn Mang Cá, tòa Khâm sứ.  		B. Đồn Mang Cá, Đại Nội. C. Tòa Khâm sứ, trên sông Hương.  		D. Tòa Khâm sứ, Đại Nội. |exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Phái chủ chiến đã mở cuộc phản công quân Pháp tại những địa điểm nào?|phái chủ_chiến đã mở cuộc phản_công quân_pháp tại những địa_điểm nào|A . Đồn Mang Cá, tòa Khâm sứ.|đồn mang cá tòa khâm sứ
Câu 4|A. Kinh thành Huế. 				B. Tân Sở (Quảng Trị).C. Quảng Bình 					D. Vụ Quang (Hà Tĩnh).|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Tôn Thất Thuyết đã thay mặt vua Hàm Nghi ra chiếu Cần Vương tại đâu?|tôn thất_thuyết đã thay_mặt vua hàm nghi ra chiếu cần vương tại đâu|B . Tân Sở (Quảng Trị).|tân sở quảng_trị
Câu 5|A. Kêu gọi nhân dân giúp vua xây dựng đất nước. B. Kêu gọi nhân dân giúp vua bảo vệ đất nước.C. Kêu gọi nhân dân giúp vua cứu nước.D. Kêu gọi nhân dân giúp vua khôi phục đất nước.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Mục đích của việc ra chiếu Cần vương là gì?|mục_đích của việc ra chiếu cần vương là gì|C . Kêu gọi nhân dân giúp vua cứu nước.|kêu_gọi nhân_dân giúp vua cứu nước
Câu 6|A. Khởi nghĩa Bãi Sậy.   			B. Khởi nghĩa Ba Đình.C. Khởi nghĩa Hương Khê.  		D. Khởi nghĩa Hùng Lĩnh.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Cuộc khởi nghĩa tiêu biểu nhất trong phong trào Cần vương là?|cuộc khởi_nghĩa tiêu_biểu nhất trong phong_trào cần vương là|C . Khởi nghĩa Hương Khê.|khởi_nghĩa hương_khê
Câu 7|A. Nguyến Thiện Thuật. 			B. Phan Đình Phùng. Cao Thắng.C. Hoàng Hoa Thám. 			D. Đinh Công Tráng.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Lãnh tụ của cuộc khởi nghĩa Hương Khê là ai?|lãnh_tụ của cuộc khởi_nghĩa hương_khê là ai|B . Phan Đình Phùng. Cao Thắng.|phan đình phùng cao_thắng
Câu 8|A. Nguyến Thiện Thuật. 			B. Phan Đình Phùng. C. Hoàng Hoa Thám. 			D. Đinh Công Tráng.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Lãnh đạo của cuộc khởi nghĩa Bãi Sậy là ai?|lãnh_đạo của cuộc khởi_nghĩa bãi sậy là ai|A . Nguyến Thiện Thuật.|nguyến thiện thuật
Câu 9|A. hưởng ứng chiếu Cần vương.  	B. tự vệ, bảo vệ cuộc sống của mình.B. chống Pháp mở rộng xâm lược.  	D. giải phóng dân tộc.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Khởi nghĩa Yên Thế nổ ra với mục đích |khởi_nghĩa yên_thế nổ ra với mục_đích|B . tự vệ, bảo vệ cuộc sống của mình.|tự_vệ bảo_vệ cuộc_sống của mình
Câu 10|A. Tố cáo tội ác xâm lược của thực dân Pháp.B. Khẳng định quyết tâm chống Pháp của triều đình kháng chiến đứng đầu là vua Hàm Nghi.C. Kêu gọi nhân dân đứng lên giúp vua cứu nước, khôi phục quốc gia phong kiến độc lập.D. Khẳng định quyền độc lập tự chủ của dân tộc ta.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Ý nào sau đây không phải là nội dung của chiếu Cần Vương ?|ý nào sau đây không phải là nội_dung của chiếu cần vương|D . Khẳng định quyền độc lập tự chủ của dân tộc ta.|khẳng_định quyền độc_lập tự_chủ của dân_tộc ta
Câu 11|	A. ngoại thương, quân sự và giao thông.	B. nông nghiệp, công nghiệp và quân sự.	C. phát triển kinh tế nông nghiệp và công thương nghiệp.	D. cướp đất lập đồn điền, khai mỏ, thu thuế và giao thông.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Chính sách khai thác thuộc địa lần thứ nhất của thực dân Pháp tập trung vào|chính_sách khai_thác thuộc_địa lần thứ nhất của thực_dân pháp tập_trung vào|D . cướp đất lập đồn điền, khai mỏ, thu thuế và giao thông.|cướp đất lập đồn_điền khai mỏ thu thuế và giao_thông
Câu 12|A. Nhà báo, nhà giáo.				B. Chủ các hãng buôn lớn. C. Học sinh, sinh viên.				D. Tiểu thương, tiểu chủ.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Tầng lớp tiểu tư sản không bao gồm thành phần nào dưới đây?|tầng_lớp tiểu tư_sản không bao_gồm thành_phần_nào dưới đây|B . Chủ các hãng buôn lớn.|chủ các hãng buôn lớn
Câu 13|A. đường hàng không.				B. đường thủy.C. đường sắt.					D. đường bộ.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Trong cuộc khai thác thuộc địa lần thứ nhất, thực dân Pháp chưa đầu tư xây dựng ngành giao thông |trong cuộc khai_thác thuộc_địa lần thứ nhất thực_dân pháp chưa đầu_tư xây_dựng ngành giao_thông|A . đường hàng không.|đường hàng_không
Câu 14|	A. Bắt đầu xâm lược Việt Nam.		B. Hiệp ước Hác- măng được ký kết.C. Khi quân nhà Nguyễn thất bại ở Nam Kỳ.D. Khi Pháp căn bản hoàn thành xâm lược Việt Nam. |exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Thực dân Pháp bắt đầu tiến hành khai thác thuộc địa từ thời điểm nào?|thực_dân pháp bắt_đầu tiến_hành khai_thác thuộc_địa_từ thời_điểm nào|D . Khi Pháp căn bản hoàn thành xâm lược Việt Nam.|khi pháp căn_bản hoàn_thành xâm_lược việt_nam
Câu 15|A. Đòi quyền lợi về kinh tế.B. Đòi chính quyền thực dân cho tham gia vào đời sống chính trị.C. Đòi thực dân Pháp trao trả độc lập cho Việt NamD. Đòi chính quyền thực dân thực hiện các quyền dân chủ rộng rãi.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Trong cuộc khai thác thuộc địa lần thứ nhất, công nhân Việt Nam đấu tranh chủ yếu vì mục tiêu gì?|trong cuộc khai_thác thuộc_địa lần thứ nhất công_nhân việt nam đấu_tranh chủ_yếu vì mục_tiêu gì|A . Đòi quyền lợi về kinh tế.|đòi quyền_lợi về kinh_tế
Câu 16|	A. Khuếch trương hình ảnh hiện đại của nền văn minh Pháp.	B. Tạo điều kiện cho dân ta đi lại thuận lợi hơn.	C. Tạo điều kiện thuận lợi cho kinh tế Việt Nam phát triển.	D. Phục vụ cho công cuộc khai thác, bóc lột và quân sự.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Trong cuộc khai thác lần thứ nhất, thực dân Pháp chú trọng xây dựng hệ thống giao thông nhằm mục đích gì?|trong cuộc khai_thác lần thứ nhất thực_dân pháp chú_trọng xây_dựng hệ_thống giao_thông nhằm mục_đích gì|D . Phục vụ cho công cuộc khai thác, bóc lột và quân sự.|phục_vụ cho công_cuộc khai_thác bóc_lột và quân_sự
Câu 17|	A. chính sách cướp đoạt ruộng đất. 	B. xây dựng hệ thống giao thông phục vụ khai thác.	C. khai thác mỏ lấy nguyên liệu phục vụ công nghiệp Pháp.	D. mở mang một số cảng biển để chuyên chở hàng hóa.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Nét nổi bật nhất trong chính sách khai thác thuộc địa lần thứ nhất của thực dân Pháp là|nét nổi_bật nhất trong chính_sách khai_thác thuộc_địa lần thứ nhất của thực_dân pháp là|A . chính sách cướp đoạt ruộng đất.|chính_sách cướp_đoạt ruộng_đất
Câu 18|	A. Vì làm cho kinh tế Việt Nam kiệt quệ. 	B. Vì làm kinh tế Việt Nam phát triển hơn trước.	C. Vì cuộc khai thác thuộc địa của Pháp đã làm nảy sinh những lực lượng sản xuất mới.	D. Vì đã du nhập phương thức sản xuất tiến bộ vào nước ta.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Vì sao dưới tác động của cuộc khai thác thuộc địa lần thứ nhất đã tạo ra điều kiện mới bên trong cho cuộc vận động cứu nước theo khuynh hướng mới?|vì_sao dưới tác_động của cuộc khai_thác thuộc_địa lần thứ nhất đã tạo ra điều_kiện mới bên trong cho cuộc vận_động cứu nước theo khuynh_hướng mới|C . Vì cuộc khai thác thuộc địa của Pháp đã làm nảy sinh những lực lượng sản xuất mới.|vì cuộc khai_thác thuộc_địa của pháp đã làm nảy_sinh những lực_lượng sản_xuất mới
Câu 19|A. Trần Quý Cáp, Ngô Đức Kế.			B. Lương Văn Can, Nguyễn Quyền.C. Phan Bội Châu, Phan Chu Trinh.		D. Thái Phiên, Trần Cao Vân.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Tiêu biểu cho khuynh hướng cứu nước theo con đường dân chủ tư sản đầu TK XX là |tiêu_biểu cho khuynh_hướng cứu nước theo con đường dân_chủ tư_sản đầu tk xx là|C . Phan Bội Châu, Phan Chu Trinh.|phan bội châu phan chu_trinh
Câu 20|A. Nhật Bản là một nước ở châu Á, có điều kiện tự nhiên, xã hội, văn hóa gần giống với Việt Nam.B. Nhật Bản đã từng đứng trước nguy cơ bị thực dân phương Tây xâm lược.C. Sau cuộc Duy Tân Minh trị (1868), Nhật Bản trở thành một nước tư bản hùng mạnh.D. Chính phủ Nhật Bản cam kết giúp đỡ phong trào độc lập dân tộc của Việt Nam.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Ý nào sau đây không phải lý do khiên Phan Bội Châu muốn dựa vào Nhật Bản để giành độc lập dân tộc?|ý nào sau đây không phải lý_do khiên phan bội châu muốn dựa vào nhật bản để giành độc_lập dân_tộc|D . Chính phủ Nhật Bản cam kết giúp đỡ phong trào độc lập dân tộc của Việt Nam.|chính_phủ nhật bản cam_kết giúp_đỡ phong_trào độc_lập dân_tộc của việt_nam
Câu 21|A. kịch liệt phản đối chủ trương bạo động, vốn là phương pháp truyền thống, rất có hiệu quả trong cuộc đấu tranh giành và giữ độc lập dân tộc trong lịch sử.B. chủ trương dựa vào Pháp để đem lại sự giàu mạnh, văn minh cho đất nước, coi đó là một trong những cơ sở giành độc lập.C. phản đối tư tưởng dân chủ lập hiến, dựa vào ngôi vua để thu phục nhân tâm, rất phù hợp với hoàn cảnh Việt Nam cũng như khu vực lúc bấy giờ.D. tư tưởng Duy tân chỉ tác động tới một bộ phận trí thức không thể thâm nhập vào quảng đại quần chúng nhân dân lao động.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Hạn chế căn bản trong tư tưởng cứu nước của cụ Phan Châu Trinh là|hạn_chế căn_bản trong tư_tưởng cứu nước của cụ phan châu trinh là|B . chủ trương dựa vào Pháp để đem lại sự giàu mạnh, văn minh cho đất nước, coi đó là một trong những cơ sở giành độc lập.|chủ_trương dựa vào pháp để đem lại sự giàu_mạnh văn_minh cho đất_nước coi đó là một trong những cơ_sở giành độc_lập
Câu 22|A. đánh đuổi thực dân Pháp và phong kiến giành độc lập dân tộc.B. đánh đuổi giặc Pháp, khôi phục nước Việt Nam, thành lập nước cộng hòa dân quốc việt Nam.C. đánh đuổi thực dân Pháp, giành độc lập, thành lập một chính thể quân chủ lập hiến ở Việt Nam.D. đánh đuổi thực dân Pháp khôi phục lại chế độ quân chủ chuyên chế ở Việt Nam.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Mục đích của Duy Tân hội là gì?|mục_đích của duy_tân hội là gì|C . đánh đuổi thực dân Pháp, giành độc lập, thành lập một chính thể quân chủ lập hiến ở Việt Nam.|đánh_đuổi thực_dân pháp giành độc_lập thành_lập một chính_thể quân_chủ lập_hiến ở việt_nam
Câu 23|A. phụ huynh đòi đưa con em về trước thời hạn.B. đã hết thời gian đào tạo phải về nước.C. Phan Bội Châu thấy không có tác dụng nên đưa về nước.D. Chính phủ Nhật câu kết Pháp, trục xuất những người yêu nước Việt Nam (kể cả Phan Bội Châu).|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Tháng 8/1908 phong trào Đông Dương tan rã vì|tháng 81908 phong_trào đông dương tan_rã vì|D . Chính phủ Nhật câu kết Pháp, trục xuất những người yêu nước Việt Nam (kể cả Phan Bội Châu).|chính_phủ nhật câu_kết pháp trục_xuất những người_yêu nước việt nam kể_cả phan bội châu
Câu 24|A. chống Pháp và phong kiến.B. dùng bạo lực giành độc lập.C. dựa vào Pháp chống phong kiến xây dựng nước Việt Nam cộng hòa.D. cải cách nâng cao dân sinh, dân trí, dân quyền, dựa vào Pháp đánh đổ phong kiến. |exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Chủ trương cứu nước của cụ Phan Châu Trinh là|chủ_trương cứu nước của cụ phan châu trinh là|D . cải cách nâng cao dân sinh, dân trí, dân quyền, dựa vào Pháp đánh đổ phong kiến.|cải_cách nâng cao dân_sinh dân_trí dân_quyền dựa vào pháp đánh_đổ phong_kiến
Câu 25|A. kinh tế - văn hóa- xã hội. 		B. kinh tế - quân sự - ngoại giao.C. kinh tế - xã hội – quân sự.		D. văn hóa – xã hội – quân sự.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Hoạt động cứu nước của cụ Phan Châu Trinh thể hiện trên các lĩnh vực|hoạt_động cứu nước của cụ phan châu trinh thể_hiện trên các lĩnh_vực|A . kinh tế - văn hóa- xã hội.|kinh_tế văn_hóa xã_hội
Câu 26|A. mở cuộc vận động Duy Tân ở Trung Kỳ.B. thành lập Duy Tân hội.C. thành lập Việt Nam Quang phục hội.D. tổ chức phong trào Đông du.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Năm 1906, Phan Chu Trinh và nhóm sĩ phu tiến bộ ở Quảng Nam đã |năm 1906 phan chu trinh và nhóm sĩ phu tiến_bộ ở quảng_nam đã|A . mở cuộc vận động Duy Tân ở Trung Kỳ.|mở cuộc vận_động duy_tân ở trung_kỳ
Câu 27|A. cổ động chấn hưng thực nghiệp, lập hội kinh doanh.B. cuộc vận động cải cách trang phục và lối sống.C. thành lập nông hội, mở lò rèn, xưởng mộc…D. mở trường học theo lối mới.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Một trong những hoạt động độc đáo của cuộc vận động Duy Tân ở Trung Kỳ (1906) là|một trong những hoạt_động độc_đáo của cuộc vận_động duy_tân ở trung kỳ 1906 là|B . cuộc vận động cải cách trang phục và lối sống.|cuộc vận_động cải_cách trang_phục và lối sống
Câu 28|A. chống Pháp và phong kiến.B. dùng bạo lực giành độc lập.C. dựa vào Pháp chống phong kiến xây dựng nước Việt Nam cộng hòa.D. cải cách nâng cao dân sinh|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Chủ trương cứu nước của cụ Phan Bội Châu là|chủ_trương cứu nước của cụ phan bội châu là|B . dùng bạo lực giành độc lập.|dùng bạo_lực giành độc_lập
